Sr. No.,Name of Insurance Co.,State,City,Provider Name,Category,Address,Pin Code,Tel Area,Tel No.,Fax No.,Not Servicing to,Provider
,,,,,Code,,,Code,,,"Insurance Co., but",No.
1,PSU-United India Insurance Company,Andhra,Anantapur,AASHA HOSPITAL(APOLLO HOSPITAL-,Hospital,"Door No 7/201,Court Road,Anantapur",515001,8554,274194/237818,245755,,2463
,,Pradesh,,ANANTAPUR),,,,,,,,
2,PSU-United India Insurance Company,Andhra,Anantapur,DR. Y.S.R. MEMORIAL HOSPITALS,Hospital,"# 12-2-878, 1# Cross,,,Sai Nagar,",515001,8554,232727 / 247365,,,10710
,,Pradesh,,,,,,,,,,
3,PSU-United India Insurance Company,Andhra,Anantapur,SRI PRAKASH EYE HOSPITAL,Hospital,"# 12-3-216, Sai Nagar, Main Road,,5th Croos,,Beside",515001,8554,221006,245906,,75521
,,Pradesh,,,,"Veternary Hospital,",,,,,,
4,PSU-United India Insurance Company,Andhra,Anantapur,VASAN EYE CARE,Hospital,"# 15/581, Street Raju Road,,Anantapur",515001,8554,222445 / 302100,302199,,14095
,,Pradesh,,HOSPITAL(ANANTAPUR),,,,,,,,
5,PSU-United India Insurance Company,Andhra,Bhimavara,BHIMAVARAM HOSPITAL,Hospital,"J P Road,,West Godavari,,",534204,8816,221111 / 22 / 33,221100,,3903
,,Pradesh,m,,,,,,,,,
6,PSU-United India Insurance Company,Andhra,Chittoor,ARAGONDA APOLLO HOSPITALS,Hospital,"Aragonda Village,,Thavanam Palli Mandal,,Chittoor",517129,8573,283221 / 283222,283223,,4504
,,Pradesh,,,,,,,,,,
7,PSU-United India Insurance Company,Andhra,Chittoor,SREELATHA MODERN EYE HOSPITAL &,Hospital,"# 2-63 /1, Officers Lane,,Beside Municipal",517001,8572,226660 / 222121 / 233391,233351,,5028
,,Pradesh,,RESEARCH CENTRE,,"Office,,Chittoor",,,,,,
8,PSU-United India Insurance Company,Andhra,East,APOLLO SAMUDRA,Hospital,"13-1-3, Main Road,Near 2 Town Police",533001,884,2345700/2345800/900,2379141,,2806
,,Pradesh,Godavari,HOSPITALS(KAKINADA),,"Chowky,Kakinada",,,,,,
9,PSU-United India Insurance Company,Andhra,East,SWATANTRA HOSPITALS PVT.LTD.,Hospital,"Near Kambala Park,,Rajahmundry",533105,883,2400400 - 409,2461188,,1074
,,Pradesh,Godavari,,,,,,,,,
10,PSU-United India Insurance Company,Andhra,Guntur,AHALYA NURSING HOME,Nursing,"12-10-16/A, Beside Sivalayam Temple,,,Kothapet",522001,863,6450135,6450135,,78789
,,Pradesh,,,Home,,,,,,,
11,PSU-United India Insurance Company,Andhra,Guntur,AMMA CHILDREN'S HOSPITAL,Hospital,"13-07-109/D,Oid Club Road,Gunturuvari Thota",522001,863,2266000,2266000,,80266
,,Pradesh,,,,,,,,,,
12,PSU-United India Insurance Company,Andhra,Guntur,ARUNA HOSPITAL(TENALI),Hospital,"Gopala Reddy Street,,Ganganammapet, Prakasam",522201,8644,226314,226315,,53766
,,Pradesh,,,,"Road,,Tenali",,,,,,
13,PSU-United India Insurance Company,Andhra,Guntur,BAYYA ENT HOSPITAL & RESEARCH,Hospital,"Bhagat Singh Statue Centre,Kothapeta,Opp.To Bhagat",522001,863,"2225729,3095313",2225729,,4807
,,Pradesh,,CENTRE,,"Singh Statue,,Kothapet",,,,,,
14,PSU-United India Insurance Company,Andhra,Guntur,COASTAL CARE HOSPITAL,Hospital,"8th Lane Gunturuvari Thota,,Opp. Apsrtc Bus Stand",522001,863,2233377,2233378,,84569
,,Pradesh,,,,"Old Club Road,Kothapet",,,,,,
15,PSU-United India Insurance Company,Andhra,Guntur,DHULIPALLA HOSPITAL,Hospital,"Door No. 12-15-179,,Kothapet",522001,863,2220461/ 2225411,2213729,,187
,,Pradesh,,,,,,,,,,
16,PSU-United India Insurance Company,Andhra,Guntur,HYMA HOSPITAL,Hospital,"Pattabhipuram,,Main Road.,Pattabhipuram",522601,863,2231564 / 2251504/ 2230020,2334199,,247
,,Pradesh,,,,,,,,,,
17,PSU-United India Insurance Company,Andhra,Guntur,LALITHA SUPER SPECIALITY HOSPITAL,Hospital,"Gowrisankar Theatre Road,Kothapet,Kothapet",522001,863,"2222866, 2217401, 2217402",2328160,,2288
,,Pradesh,,,,,,,,,,
18,PSU-United India Insurance Company,Andhra,Guntur,M N HOSPITAL,Hospital,"D. No. 5-37-77,,,4/10, Brodipet",522001,863,2224549,2213729,,70321
,,Pradesh,,,,,,,,,,
19,PSU-United India Insurance Company,Andhra,Guntur,NRI ACADEMY OF SCIENCES,Hospital,"Chinakakani,,Mangalagiri Mandal,,Vijayawada To",522503,8645,236777 / 237401/ 402 / 403 /,237404 / 235617,,35680
,,Pradesh,,,,Guntur Highway,,,405,,,
20,PSU-United India Insurance Company,Andhra,Guntur,PADMAVATHY SUPERSPECIALITY,Nursing,"Kothapet,,Opposite Head Post Office,,Kothapet",522001,863,2222222/ 6641213 / 6641535,2254990,,347
,,Pradesh,,HOSPITAL,Home,,,,,,,
21,PSU-United India Insurance Company,Andhra,Guntur,R.K.EYE CENTRE(GUNTUR),Hospital,"Opp.Srikrishna Picture Palace,Kothapet,Guntur",522001,863,2252205,2254521,,67942
,,Pradesh,,,,,,,,,,
22,PSU-United India Insurance Company,Andhra,Guntur,SAI CHANDAN EYE HOSPITAL,Hospital,"""Ramireddy Thota, Near Manipuram Bridge,,Besides",522001,863,2212748,2334344,,55469
,,Pradesh,,,,"Singh Hospital,,100 Feet Form District Bus Dep",,,,,,
23,PSU-United India Insurance Company,Andhra,Guntur,SAI MADHAVI NURSING HOME(TENALI),Nursing,"7-5-11, Prakasam Rd,,Nr. Lakshmi Deluxe,,Tenali",522201,8644,231416,231416,,55622
,,Pradesh,,,Home,,,,,,,
24,PSU-United India Insurance Company,Andhra,Guntur,SANKARA EYE HOSPITAL(GUTUR),Hospital,"""Nh-5, Express Highway,,Pedakakani""",522001,863,2293903,2293904,,84786
,,Pradesh,,,,,,,,,,
25,PSU-United India Insurance Company,Andhra,Guntur,SRI BHAVANI NURSING HOME,Hospital,"2nd Blane,,,Gunturvaarithota,",522002,863,2263736,2263736,,66715
,,Pradesh,,,,,,,,,,
26,PSU-United India Insurance Company,Andhra,Guntur,SRINIVASA HOSPITAL(TENALI),Hospital,"16-41-2,,Opp Bsnl","Exchange,Salipet,,Tenali",522201,8644,232525,0,51134
,,Pradesh,,,,,,,,,,
27,PSU-United India Insurance Company,Andhra,Guntur,TULASI MULTI SPECIALITY HOSPITAL,Hospital,"5th Lane, Gunturivari Thota,,,Old Club Road",522001,863,2323235,235559,,79169
,,Pradesh,,,,,,,,,,
28,PSU-United India Insurance Company,Andhra,Guntur,VASAN EYE CARE(GUNTUR),Hospital,"No. 12-25-174,,Opp. Shivalayam,,Kothapet,",522001,863,3989000,3919919,,12006
,,Pradesh,,,,,,,,,,
29,PSU-United India Insurance Company,Andhra,Guntur,VIJAYA EYE HOSPITAL,Hospital,"5-87-104 Lakshmipuram,,Main Road,,Guntur",522007,863,2235344,2352906,,29542
,,Pradesh,,,,,,,,,,
30,PSU-United India Insurance Company,Andhra,Hyderabad,ADAVALLY DAMODAR REDDY,Hospital,"H.No 02,9-2, Ramanthapur,Hyderabad",500013,40,5528 9161/,2703 8788,,4831
,,Pradesh,,MEMORIAL HOSPITAL,,,,,27038744/55/66/27,,,
